,y,pred
0,0.57,0.5912392525591372
1,0.9,0.619531837684864
2,0.35,0.5334489096290201
3,0.252,0.12265124911103314
4,0.6,0.5903747839500949
5,0.35,0.42029094751127216
6,0.9,0.5387273342280521
7,0.64,0.3942671686631447
8,0.288,0.422161758836339
9,0.053,0.03575709172121226
10,0.3,0.3680322454144242
11,0.25,0.3075517837630606
12,0.97,0.4122498952090283
13,0.4,0.39942119860942876
14,0.52,0.5187047869324024
15,0.198,0.30130136669178276
16,0.14,0.4421755393224618
17,0.64,0.4764660612107027
18,0.4,0.3223729081848717
19,0.127,0.19854286978266472
20,0.096,0.10453673187739587
21,0.248,0.35215631217739196
22,0.16,0.18946671089669276
23,0.45,0.41519055562618
24,0.25,0.25653398497478275
25,0.23,0.3791640369708721
26,0.6,0.41902224606241056
27,0.1,0.1570761615431746
28,0.7,0.306432943742499
29,0.067,0.26999371898886126
30,0.18,0.229532073662998
31,0.42,0.4368258662178979
32,0.58,0.4272824277918993
33,0.7,0.5254643680086586
34,0.336,0.3616429670549106
35,0.3,0.45039387295544664
36,0.5504,0.4998581322223672
37,0.9,0.42463193861595094
38,0.025,0.12252858737794461
39,0.6,0.3623964248014542
40,0.76,0.6310128392555645
41,0.18,0.3284143721810502
42,0.63,0.1871284951377748
43,0.47,0.5043155545379052
44,0.081,0.14516038143436114
45,0.67,0.47945333512666743
46,0.5,0.5226892147796164
47,0.98,0.5775111156128362
48,0.55,0.4576882510206941
49,0.6,0.5208659905139188
50,0.4,0.47607156409163465
51,0.11,0.22127936568790157
52,0.18,0.4032035528657204
53,0.4208,0.5132058724057218
54,0.058,0.2109186483043512
55,0.266,0.3258822133065691
56,0.14,0.3609106735380514
57,0.2997,0.48092765512170543
58,0.4,0.43285237541554356
59,0.75,0.4121808161645434
60,0.85,0.5341818824426753
61,0.65,0.5097750414698978
62,0.35,0.2655550175552428
63,0.84,0.5130398837518713
64,0.268,0.21197801227346047
65,0.1,0.267357723082692
66,0.192,0.6255077496063303
67,0.5001,0.3242923043788801
68,0.41,0.5822888247568344
69,0.327,0.21867846485802123
70,0.54,0.4840116433228209
71,0.6,0.6263973573568138
72,0.288,0.2501038815502452
73,0.52,0.4176327123433654
74,0.3,0.2778504511188247
75,0.33,0.36933694250118543
76,0.9,0.5185726834033978
77,0.7,0.4671807611181118
78,0.37,0.35065544106092816
79,0.62,0.4051959825625343
80,0.405,0.40024968297426644
81,0.19,0.12700428936827873
82,0.8,0.36468607515383167
83,0.33,0.3214729646603221
84,0.277,0.15209711528708916
85,0.65,0.4527845959318434
86,0.87,0.48433007814766793
87,0.037,0.08587185021543445
88,0.112,0.3258049219701209
89,0.3032,0.2798124584724478
90,0.85,0.4456145758690331
91,0.394,0.3433740344068166
92,0.3,0.3304764862264851
93,0.85,0.5560665256904272
94,0.56,0.48010391295336075
95,0.1,0.21564948843759163
96,0.5,0.40058041546147893
97,0.08,0.33305937717392053
98,0.924,0.6592209251194536
99,0.41,0.38364378389039744
100,0.33,0.47499996525437194
101,0.29,0.7177292210241396
102,0.17,0.3722381264792071
103,0.8,0.6376545159817922
104,0.41,0.5179196722733088
105,0.63,0.40348880880548454
106,0.0018,0.20017142643851793
107,0.455,0.3898058548809007
108,0.371,0.3688241893896599
109,0.55,0.5979685416036612
110,0.5,0.7201481634150102
111,0.05,0.30719605597187893
112,0.225,0.25056607444538687
113,0.378,0.49247964208284745
114,0.59,0.4149143459840329
115,0.7552,0.5236704026862072
116,0.394,0.2754037011214093
117,0.4309,0.29442927924900614
118,0.8,0.62740081615191
119,0.254,0.41126646881951673
120,0.5,0.3463890383613551
121,0.57,0.5023431448103204
122,0.13,0.28523093107503106
123,0.033,0.012492340331107049
124,0.65,0.5593056440573972
125,0.05,0.09969110075456808
126,0.229,0.3016522464757828
127,0.75,0.5907613910307542
128,0.69,0.38024564626718127
129,0.6,0.4000213130850213
130,0.7,0.4303795579162423
131,0.006,0.0514158931929663
132,0.2,0.263554483919244
133,0.53,0.47062180406654053
134,0.153,0.2902468708321896
135,0.078,0.25722661987353346
136,0.51,0.37629115542226915
137,0.225,0.28890024606077125
138,0.12,0.3588553267314483
139,0.3,0.5568883389705509
140,0.71,0.46257569617392813
141,0.05,0.23142753317395726
142,0.0779,0.3220805767879175
143,0.9,0.6448045380895228
144,0.012,0.12076291645284457
145,0.16,0.3521914491836099
146,0.4,0.4726428693976633
147,0.591,0.33030632427083595
148,0.192,0.47317971639156364
149,0.27,0.3262392636924736
150,0.455,0.241817148270715
151,0.53,0.5125506397904702
152,0.55,0.5063812020856768
153,0.387,0.25932420652297994
154,0.24,0.5652574649785176
155,0.43,0.3034104811403805
156,0.1,0.31402435409248763
157,0.06,0.04668668842726578
158,0.39,0.6339574844612498
159,0.49,0.3931508228462412
160,0.5,0.622366928722748
161,0.4,0.4024522482253966
162,0.29,0.3472222909104936
163,0.18,0.14578677014256358
164,0.084,0.19634725930714697
165,0.3,0.33630920922667534
166,0.86,0.346708232180487
167,0.65,0.5059186717917571
168,0.4048,0.5452913609714042
169,0.63,0.6951303369658007
170,0.439,0.3857765503638707
