age,gender,race,pred,s,agegroup,gender_female,gender_male,race_Asian,race_Black,race_Indian,race_Others,race_White,agegroup_0-4,agegroup_5-17,agegroup_18-24,agegroup_25-34,agegroup_35-44,agegroup_45-64,agegroup_65-84,agegroup_85-99,agegroup_100-119
28,female,White,23.633543014526367,4.366456985473633,25-34,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
55,male,White,50.718101501464844,4.281898498535156,45-64,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
24,female,White,28.626279830932617,4.626279830932617,18-24,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
65,male,White,67.4446029663086,2.4446029663085938,65-84,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1,male,White,0.12801271677017212,0.8719872832298279,0-4,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
33,male,Indian,34.53904724121094,1.5390472412109375,25-34,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
16,male,Black,55.579612731933594,39.579612731933594,5-17,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
21,female,Asian,27.625551223754883,6.625551223754883,18-24,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
20,female,Asian,25.124277114868164,5.124277114868164,18-24,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
30,female,White,28.281442642211914,1.718557357788086,25-34,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
25,female,Asian,27.55348777770996,2.553487777709961,25-34,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
70,female,White,58.89226531982422,11.107734680175781,65-84,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
6,female,Others,27.820985794067383,21.820985794067383,5-17,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
74,female,White,46.70954132080078,27.29045867919922,65-84,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
27,female,Indian,18.21213150024414,8.78786849975586,25-34,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
36,female,White,36.75850296020508,0.7585029602050781,35-44,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
38,female,Black,27.982831954956055,10.017168045043945,35-44,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
25,male,Others,24.34953498840332,0.6504650115966797,25-34,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
39,female,Indian,28.34868049621582,10.65131950378418,35-44,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
18,female,Indian,22.89470100402832,4.89470100402832,18-24,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
73,male,Indian,65.36559295654297,7.634407043457031,65-84,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
30,male,White,26.350679397583008,3.649320602416992,25-34,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
40,female,Black,32.64476013183594,7.3552398681640625,35-44,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2,female,White,1.577769160270691,0.4222308397293091,0-4,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
29,male,Indian,25.595552444458008,3.404447555541992,25-34,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,male,Asian,2.4810750484466553,1.4810750484466553,0-4,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
80,male,Asian,56.95302200317383,23.046977996826172,65-84,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
